District,State,Population,Population_Density_Per_Sq_Km,Urbanization_Rate_Percent,Literacy_Rate_Percent
Kamrup Metropolitan,Assam,1253974,1528.0,82.7,88.7
Patna,Bihar,5838465,3202.0,43.1,70.6
Ernakulam,Kerala,3280239,1069.0,68.1,95.9
Thane,Maharashtra,11060148,1157.0,76.9,84.5
Cuttack,Odisha,2624470,667.0,28.1,85.5
Ludhiana,Punjab,3498739,978.0,59.2,82.2
Amritsar,Punjab,2490656,928.0,53.6,76.3
Jalandhar,Punjab,2193590,836.0,52.9,82.5
Patiala,Punjab,1895686,596.0,40.3,75.3
SAS Nagar (Mohali),Punjab,994628,909.0,54.8,83.8
Chandigarh,Chandigarh UT,1055450,9258.0,97.2,86.0
